player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,general_position,big_chance,chance_created_per90,pass_per90,tackles_per90,successful_dribbles
Christian Eriksen,MF,Denmark,33,Manchester Utd,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2,Midfielder,1,3,0,0,0
Christian NÃ¸rgaard,MF,Denmark,31,Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Craig Goodwin,MF,Australia,34,Adelaide,1991,4,3,234,2.6,1,1,1,0,0,0,0,0.38,0.38,0.77,0.38,0.77,0.3,0.3,0.6,0.9,0.11,0.25,0.36,0.11,0.36,Midfielder,0,0,0,0,0
Damian SzymaÅski,MF,Poland,30,AEK Athens,1995,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Daniel ChacÃ³n,MF,Costa Rica,24,CS CartaginÃ©s,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Daniel Kyereh,MF,Ghana,29,Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
David Wotherspoon,MF,Canada,35,St Johnstone,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Davy Klaassen,MF,Netherlands,32,Ajax,1993,4,3,190,2.1,1,2,1,0,0,0,0,0.47,0.95,1.42,0.47,1.42,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25,Midfielder,0,0,0,0,0
Declan Rice,MF,England,26,West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Midfielder,0,0,0,0,0
Denis Zakaria,MF,Switzerland,29,Chelsea,1996,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Midfielder,0,0,0,0,0
Djibril Sow,MF,Switzerland,28,Eint Frankfurt,1997,4,4,264,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.2,0.2,0.2,0.3,0.06,0.06,0.12,0.06,0.12,Midfielder,0,0,0,0,0
Dries Mertens,MF,Belgium,38,Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.94,0.17,1.11,0.94,1.11,Midfielder,0,0,0,0,0
