player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,pens_sav,cards_yellow,cards_red,goals_per90,assists_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,Clean_s,saves,general_position,goal_conceded,goals_conceded_per90,save_percentage
Saad Al Sheeb,GK,Qatar,35,Al Sadd SC,1990,1,1,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Goalkeeper,2,2,33.33333333
Sergio Rochet,GK,Uruguay,32,Nacional,1993,3,3,270,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,Goalkeeper,2,0.666666667,71.42857143
Shuichi Gonda,GK,Japan,36,S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Goalkeeper,5,1.153846154,75
Steve Mandanda,GK,France,40,Rennes,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Goalkeeper,1,1,66.66666667
Thibaut Courtois,GK,Belgium,33,Real Madrid,1992,3,3,270,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,Goalkeeper,2,0.666666667,80
Unai Simon,GK,Spain,28,Athletic Club,1997,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,Goalkeeper,3,0.692307692,66.66666667
Vanja Milinkovic-Savic,GK,Serbia,28,Torino,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Goalkeeper,8,2.666666667,66.66666667
Wayne Hennessey,GK,Wales,38,Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,Goalkeeper,3,1.542857143,57.14285714
Wojciech Szczesny,GK,Poland,35,Juventus,1990,4,4,360,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,Goalkeeper,5,1.25,82.14285714
Weverton Pereira da Silva,GK,Brazil,38,Palmeiras,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Goalkeeper,0,0,0
Yann Sommer,GK,Switzerland,37,M'Gladbach,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,Goalkeeper,6,2,66.66666667
Yassine Bounou,GK,Morocco,34,Sevilla,1991,6,6,570,6.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,Goalkeeper,5,0.789473684,61.53846154
